circuit,image_rows,image_cols,barcode_rows,barcode_cols,max_rows,max_cols,max_ec_level,chunk_size,prover_time_1,prover_time_2,prover_time_3,prover_time_4,prover_time_5,prover_ram_1,prover_ram_2,prover_ram_3,prover_ram_4,prover_ram_5,verifier_time_1,verifier_time_2,verifier_time_3,verifier_time_4,verifier_time_5,verifier_ram_1,verifier_ram_2,verifier_ram_3,verifier_ram_4,verifier_ram_5
binarize,720,1080,693,870,90,30,1,10,11034.76,10850.52,10852.34,11034.81,11478.49,9084708,9110804,9115920,9111924,8996604,929.54,915.82,904.57,892.18,912.37,894600,894636,895052,894656,896104
binarize,720,1080,693,870,90,30,5,10,11004.87,11315.65,11092.81,11234.52,11075.05,8858252,8999108,8991452,9021288,8971064,908.82,906.64,1054.53,1050.9,914.0,894640,895164,895096,894704,893516
binarize,720,1080,693,870,90,30,8,10,11173.71,10969.29,11047.31,11032.25,11013.88,8967732,8990484,8981072,8981840,8994380,1033.83,1068.18,903.77,906.24,1055.08,894688,895044,894560,895664,895156
block_measurement,288,384,273,290,90,30,0,10,5092.88,5100.1,5036.2,5305.57,4940.01,4693216,4673908,4665288,4598288,4722256,606.45,592.87,625.26,613.46,586.42,780368,780336,780412,778864,780392
block_measurement,288,384,273,290,90,30,1,10,5244.19,5156.05,5085.73,5001.58,5059.6,4699568,4689268,4711776,4674244,4648056,594.99,593.66,618.59,595.73,584.83,780924,780396,779808,779856,780356
block_measurement,48,144,48,120,3,3,0,10,471.07,476.37,475.24,477.86,474.65,307544,308132,308812,309384,306432,72.5,78.99,71.78,71.53,72.89,64260,63152,64704,63712,63772
block_measurement,48,144,48,120,3,3,1,10,474.29,480.1,470.04,469.02,483.55,310176,308472,306600,308660,310116,71.98,71.42,72.71,72.05,73.93,63204,64772,64296,64716,64212
block_measurement,144,192,144,120,3,3,0,10,1024.18,1026.45,1014.61,1028.6,1024.47,759912,758876,753680,759692,755784,123.53,122.96,122.47,123.04,123.13,126732,126228,126148,126252,126760
block_measurement,144,192,144,120,3,3,1,10,1003.36,1022.08,1017.96,1027.46,1021.24,759008,759088,758676,758528,760336,129.11,124.51,125.23,133.93,123.35,127316,126656,126660,127216,127804
block_measurement,144,192,140,171,10,6,0,9,1502.41,1485.19,1519.3,1524.26,1518.39,1114840,1135292,1127376,1140580,1160888,184.82,184.01,184.56,185.5,185.22,208964,209092,210068,210068,209548
block_measurement,144,192,140,171,10,6,1,9,1497.49,1549.57,1542.35,1541.8,1525.9,1127420,1127352,1124324,1126836,1137928,186.12,185.82,183.12,185.48,186.3,209028,210048,208028,209116,209020
block_measurement,288,384,288,360,3,3,0,10,3393.62,3421.52,3425.78,3341.94,3365.68,3050348,3050444,3040384,2947516,2962256,386.4,376.17,376.32,376.11,375.91,452944,453292,452448,454036,452932
block_measurement,288,384,273,290,90,30,8,10,4848.18,5314.2,5130.72,5053.26,5146.93,4601948,4683164,4716284,4669008,4684608,595.23,587.77,606.9,600.84,597.86,778700,778752,780276,780424,778764
check_barcode_stats,288,384,273,290,90,30,0,10,551.38,550.08,535.52,540.16,542.37,783340,779356,782396,783996,783900,21.47,21.2,21.53,21.74,21.43,17120,17160,17600,17760,17100
check_barcode_stats,288,384,273,290,90,30,1,10,552.89,528.4,550.22,548.2,553.11,779472,781788,785128,783276,780160,21.63,21.23,24.31,21.12,21.74,17612,18652,16604,18172,16156
check_barcode_stats,288,384,288,309,3,2,0,3,809.28,821.83,829.33,809.2,823.43,1248820,1253332,1253912,1250888,1253384,19.43,19.31,20.97,19.32,19.47,16668,17684,18228,17128,16076
check_barcode_stats,288,384,288,309,3,2,1,3,820.64,822.23,837.55,792.04,825.66,1246156,1253956,1252780,1254884,1252896,19.22,19.23,19.43,19.22,19.04,16648,16648,16576,17744,16660
check_barcode_stats,288,384,280,342,10,6,0,9,479.64,483.9,482.07,481.91,486.22,694928,695024,695976,695532,690456,19.12,19.1,19.49,19.17,19.42,16044,17768,16692,16144,17656
check_barcode_stats,288,384,273,290,21,13,0,10,460.45,466.82,475.8,471.35,469.78,674824,674644,675728,683500,678820,26.63,19.9,25.32,19.02,19.03,18220,18252,17156,16584,16100
check_barcode_stats,288,384,273,290,21,13,1,10,456.09,458.54,454.93,459.18,469.83,677176,678920,678444,672592,675632,23.14,19.41,19.41,19.6,19.5,17652,17164,17096,16100,17164
check_barcode_stats,288,384,273,290,21,13,5,10,467.36,475.55,472.52,470.92,472.18,678428,677936,675192,678912,675684,19.49,19.17,19.22,19.33,19.22,16600,18248,17672,17088,16600
check_barcode_stats,288,384,273,290,60,20,0,10,515.29,516.47,513.25,499.08,515.36,725120,722544,723996,724504,722976,21.56,22.25,21.76,21.68,21.32,17132,17624,16744,17608,18212
check_barcode_stats,288,384,273,290,60,20,1,10,500.3,510.06,503.49,507.55,591.57,723036,724092,725204,725636,724112,21.55,21.4,21.48,21.47,21.48,17088,16576,17252,17712,18608
check_barcode_stats,288,384,273,290,60,20,5,10,509.48,510.63,515.27,513.72,516.82,724160,726220,723124,723616,724676,21.78,21.81,21.84,21.84,29.2,17104,17632,17608,17120,17648
check_barcode_stats,288,384,273,290,60,20,8,10,494.14,512.77,496.76,494.56,498.19,725696,725396,725340,724220,723912,21.79,21.47,21.62,21.92,21.49,17112,17184,17172,17200,17092
check_barcode_stats,288,384,273,290,90,30,0,10,541.1,549.16,544.54,546.64,547.58,780508,783872,784468,781604,779448,21.86,21.96,21.7,21.78,21.79,17636,17208,16592,16660,16660
check_barcode_stats,288,384,273,290,90,30,1,10,632.67,551.68,554.45,552.12,530.34,778976,783292,785168,782436,779516,21.62,21.32,21.49,21.05,21.68,17188,17136,17804,16580,17216
check_barcode_stats,288,384,273,290,90,30,5,10,547.89,553.06,554.7,553.96,540.84,783612,779712,784136,779352,783628,22.16,21.82,21.16,21.96,21.99,17124,17724,17600,16636,17764
check_barcode_stats,288,384,273,290,90,30,8,10,551.48,550.86,546.72,545.6,538.86,784180,785168,784640,784036,785080,21.32,21.38,22.07,21.27,21.52,17696,17132,16136,17620,16692
check_barcode_stats,480,640,468,618,3,2,0,6,1612.14,1601.25,1582.75,1607.81,1594.91,2501336,2499520,2502264,2499904,2502240,19.86,19.27,19.17,19.27,19.29,16696,16156,16708,17672,17192
check_barcode_stats,480,640,468,618,3,2,1,6,1607.7,1594.11,1621.6,1588.47,1592.51,2500724,2499460,2497764,2500352,2498764,27.03,19.57,19.17,20.17,19.43,17092,16608,17148,16144,16696
check_barcode_stats,480,640,480,513,10,6,0,9,1043.98,1029.48,1048.55,1027.59,1027.88,1500872,1501552,1500472,1499444,1500884,19.33,19.44,19.48,19.63,26.17,16064,18148,16744,16696,17140
check_barcode_stats,480,640,462,580,21,13,0,10,1078.94,1093.19,1094.4,1087.99,1113.11,1555048,1558356,1557124,1555436,1556032,18.84,18.89,19.19,19.14,19.01,17076,16112,17160,17120,15652
check_barcode_stats,480,640,462,580,21,13,1,10,1104.14,1099.84,1083.77,1096.98,1092.72,1560500,1560556,1552404,1554604,1554424,19.9,19.46,19.23,21.01,19.25,16752,16584,18112,16644,16568
check_barcode_stats,480,640,462,580,21,13,5,10,1078.07,1289.86,1097.55,1099.49,1097.8,1554444,1555380,1553308,1558268,1554472,19.16,19.52,19.11,19.47,19.07,17120,17616,16124,16584,17168
check_barcode_stats,480,640,462,580,60,20,0,10,1374.64,1200.48,1199.82,1197.27,1178.44,1643112,1645200,1641884,1642048,1643748,21.34,21.86,21.54,21.43,29.41,17088,17660,17156,17204,17236
check_barcode_stats,480,640,462,580,60,20,1,10,1190.2,1190.0,1149.67,1188.41,1185.58,1644168,1643588,1644028,1644796,1643548,22.32,21.6,21.77,21.43,21.39,17684,16064,16596,17084,17132
check_barcode_stats,480,640,462,580,60,20,5,10,1193.35,1183.26,1182.24,1185.5,1195.38,1646376,1645208,1644516,1644752,1644972,21.8,21.43,21.39,21.62,21.81,17148,16540,17204,16620,17112
check_barcode_stats,480,640,462,580,60,20,8,10,1148.0,1203.34,1160.5,1187.91,1175.49,1648544,1649056,1644928,1647568,1648572,21.57,21.53,28.85,22.13,21.75,16588,17708,17604,16576,17696
check_barcode_stats,480,640,462,580,90,30,0,10,1656.03,1649.7,1658.65,1663.1,1686.9,2530720,2532276,2532844,2532764,2532168,22.1,21.64,21.38,21.53,22.12,16168,18252,18168,17612,16584
check_barcode_stats,480,640,462,580,90,30,1,10,1724.94,1676.86,1660.74,1703.06,1902.41,2533216,2530516,2531784,2532344,2530096,21.61,21.41,21.71,21.76,21.61,18164,18164,16624,17660,17240
check_barcode_stats,480,640,468,618,3,2,0,6,1615.48,1597.21,1579.37,1609.1,1608.92,2500132,2499972,2500680,2501000,2501684,19.54,19.59,19.35,19.19,19.03,17136,16124,16548,17092,16728
check_barcode_stats,480,640,468,618,3,2,1,6,1626.04,1619.17,1598.2,1614.72,1617.11,2501732,2500192,2500772,2499704,2501268,19.66,19.13,19.25,19.14,19.46,16660,16652,16184,17784,17156
check_barcode_stats,480,640,480,513,10,6,0,9,1047.59,1030.48,1007.65,1035.36,1041.17,1500468,1501000,1502180,1500976,1501576,19.25,18.96,19.36,19.29,19.71,16676,17620,17092,17140,17188
check_barcode_stats,480,640,480,513,10,6,1,9,1030.84,1027.89,1033.27,1027.96,1188.53,1501488,1500420,1501552,1500608,1498416,19.52,19.65,19.22,19.39,19.08,17236,16616,17112,16692,18140
check_barcode_stats,480,640,462,580,21,13,0,10,1093.68,1099.2,1085.48,1089.26,1090.46,1555504,1558044,1554660,1559944,1554816,19.65,22.13,19.71,19.31,19.7,16620,16608,17600,16184,17204
check_barcode_stats,480,640,462,580,21,13,1,10,1073.71,1077.84,1071.44,1106.54,1066.61,1554700,1555548,1556052,1558880,1561172,19.53,19.38,19.34,19.36,27.65,16632,16232,16640,18172,17696
check_barcode_stats,480,640,462,580,21,13,5,10,1104.8,1088.81,1097.3,1103.57,1318.88,1555064,1553484,1561780,1559596,1555540,19.45,19.61,19.77,19.16,19.59,16712,16148,15520,17172,16624
check_barcode_stats,480,640,462,580,60,20,0,10,1172.42,1173.0,1181.0,1181.02,1183.26,1645212,1644008,1645144,1645092,1646160,21.75,21.67,21.59,21.2,21.49,17624,16668,17624,17144,16556
check_barcode_stats,480,640,462,580,60,20,1,10,1150.21,1180.98,1181.99,1187.36,1182.4,1645228,1643264,1644060,1644844,1642620,21.41,21.66,21.44,22.08,21.85,17684,18256,17072,17740,17688
check_barcode_stats,480,640,462,580,60,20,5,10,1173.09,1181.81,1182.19,1168.05,1172.11,1644336,1644148,1643588,1643380,1645776,21.5,21.69,21.44,21.69,21.31,18252,16744,17696,16584,17172
check_barcode_stats,480,640,462,580,60,20,8,10,1191.73,1178.75,1188.2,1183.02,1186.45,1648608,1647972,1647676,1650248,1647000,21.77,21.5,21.62,21.99,21.92,18124,18176,16112,16744,17660
check_barcode_stats,480,640,462,580,90,30,0,10,1924.4,1654.8,1686.69,1687.42,1635.86,2531556,2530204,2533564,2531552,2532432,21.3,21.58,21.59,23.67,22.26,17744,16124,17668,17112,17212
